,id,Адрес,Название достопримечательности,Общая оценка,Кол-во отзывов,Тип достопримечательности,Достопримечательность,adress_for_scrap,Широта,Долгота
131,131,"Zeyrek, Yesarizade Cd. Fatih, Стамбул 34083 Турция",Carsamba Pazari,4.0,41 отзыв,Блошиные и уличные рынки,6. Carsamba Pazari,"Carsamba Pazari, Istanbul, Turkiye",41.004078199999995,28.631398778697854
132,132,"Cumhuriyet Mahallesi, Semt Pazarı No:8, Стамбул 34380 Турция",Ferikoy Antika Pazari,4.0,33 отзыва,Блошиные и уличные рынки,7. Ferikoy Antika Pazari,"Ferikoy Antika Pazari, Istanbul, Turkiye",,
133,133,"Taya Hatun, Стамбул 34120 Турция",Mahmut Pasha Bazaar,4.0,15 отзывов,Блошиные и уличные рынки,8. Mahmut Pasha Bazaar,"Mahmut Pasha Bazaar, Istanbul, Turkiye",41.0121022,28.9694435
134,134,"Nuzhetiye Cd. No:66, Стамбул 34357 Турция",Besiktas Saturday Market,4.5,4 отзыва,Блошиные и уличные рынки,9. Besiktas Saturday Market,"Besiktas Saturday Market, Istanbul, Turkiye",41.047607817431874,29.00009561639112
135,135,"İtfaiye Cd. No:19, Стамбул 34083 Турция",Kadinlar Pazari,4.0,27 отзывов,Блошиные и уличные рынки,10. Kadinlar Pazari,"Kadinlar Pazari, Istanbul, Turkiye",41.015962716163855,28.953880699558738
136,136,"Uzunçayır Cd, Стамбул 34716 Турция",Kadikoy Sali Pazari,4.5,5 отзывов,Блошиные и уличные рынки,11. Kadikoy Sali Pazari,"Kadikoy Sali Pazari, Istanbul, Turkiye",40.99760055,29.05028467198953
137,137,"Necip Fazıl Kısakürek Cd., Стамбул 34782 Турция",Ulus Pazari,4.0,15 отзывов,Блошиные и уличные рынки,12. Ulus Pazari,"Ulus Pazari, Istanbul, Turkiye",41.02467665,29.18565330104397
138,138,"Kalyoncu Kullugu Mahallesi, Kurdela Sk. No: 39 Beyoglu, Стамбул 34435 Турция",Tarlabasi Pazari,4.5,7 отзывов,Блошиные и уличные рынки,13. Tarlabasi Pazari,"Tarlabasi Pazari, Istanbul, Turkiye",,
139,139,"Cavus Mahallesi, Pazar Sokak Sile, Стамбул 34980 Турция",Sile Earth Market,5.0,9 отзывов,Блошиные и уличные рынки,14. Sile Earth Market,"Sile Earth Market, Istanbul, Turkiye",,
140,140,"Çolak İbrahim Sokağı Bakırköy Adalet Sarayı Arkası, Стамбул 34145 Турция",Bakırköy Pazarı,4.0,2 отзыва,Блошиные и уличные рынки,15. Bakırköy Pazarı,"Bakırköy Pazarı, Istanbul, Turkiye",40.9970027,28.8791895
141,141,Подробнее,Spoon In My Pocket,4.5,7 отзывов,Блошиные и уличные рынки,16. Spoon In My Pocket,"Spoon In My Pocket, Istanbul, Turkiye",,
142,142,"firuzağa mahallesi çukurcuma caddesi no:44/2 Beyoğlu, Стамбул 34425 Турция",Berol Antik,5.0,2 отзыва,Специализированные и сувенирные магазины,17. Berol Antik,"Berol Antik, Istanbul, Turkiye",,
143,143,Подробнее,Kapalı Carsı,4.5,19 отзывов,Специализированные и сувенирные магазины,18. Kapalı Carsı,"Kapalı Carsı, Istanbul, Turkiye",41.01098795,28.968175837679787
144,144,,Cavalry Bazaar,4.0,14 отзывов,Блошиные и уличные рынки,19. Cavalry Bazaar,"Cavalry Bazaar, Istanbul, Turkiye",,
145,145,,Yeşilköy Pazarı,3.5,2 отзыва,Блошиные и уличные рынки,20. Yeşilköy Pazarı,"Yeşilköy Pazarı, Istanbul, Turkiye",40.96455,28.816819
146,146,,Fatih (Wednesday) Market,5.0,1 отзыв,Блошиные и уличные рынки,21. Fatih (Wednesday) Market,"Fatih (Wednesday) Market, Istanbul, Turkiye",,
147,147,"Kalpakcılar Cad. Sorguclu Han No: 22 Beyazıt Mh., Стамбул 34854 Турция",Kapalıcarsı,5.0,25 отзывов,Специализированные и сувенирные магазины,22. Kapalıcarsı,"Kapalıcarsı, Istanbul, Turkiye",40.9874928,28.903969
148,148,Подробнее,Avrupa Pasaji,4.0,28 отзывов,Специализированные и сувенирные магазины,23. Avrupa Pasaji,"Avrupa Pasaji, Istanbul, Turkiye",41.03394095815356,28.977351901991124
149,149,"Azapkapi Fermeneciler Cad. No:35, Стамбул 34421 Турция",Karakoy Balik Pazari,3.0,8 отзывов,Блошиные и уличные рынки,24. Karakoy Balik Pazari,"Karakoy Balik Pazari, Istanbul, Turkiye",,
150,150,Позвонить,Mısır Carsısı,4.0,29 отзывов,Специализированные и сувенирные магазины,25. Mısır Carsısı,"Mısır Carsısı, Istanbul, Turkiye",41.016478649999996,28.970537566029087
151,151,Подробнее,UC Yildiz Sekerleme,4.5,24 отзыва,Специализированные и сувенирные магазины,26. UC Yildiz Sekerleme,"UC Yildiz Sekerleme, Istanbul, Turkiye",,
152,152,"Sultanahmet Mahallesi, Torun Sokak No: 23 Sultanahmet, Стамбул 34122 Турция",Ismek Sanat Sokagi,4.0,1 отзыв,Блошиные и уличные рынки,27. Ismek Sanat Sokagi,"Ismek Sanat Sokagi, Istanbul, Turkiye",,
153,153,,Fatih Çarşamba (Wednesday) Market,,,Блошиные и уличные рынки,28. Fatih Çarşamba (Wednesday) Market,"Fatih Çarşamba (Wednesday) Market, Istanbul, Turkiye",,
154,154,"Halide Edip Adıvar Mahallesi, Halide Edip Adıvar Caddesi, No:72/a Şişli, Стамбул 34382 Турция",Yaz Vintage,5.0,2 отзыва,Специализированные и сувенирные магазины,29. Yaz Vintage,"Yaz Vintage, Istanbul, Turkiye",41.0598534,28.9737072
155,155,Подробнее,Yaman Malatya Pazari,,Понедельник,Блошиные и уличные рынки,30. Yaman Malatya Pazari,"Yaman Malatya Pazari, Istanbul, Turkiye",,
156,156,"Hasanpaşa, Uzunçayır Cd, Стамбул 34722 Турция",Bit Pazari Kadiköy,,,Блошиные и уличные рынки,31. Bit Pazari Kadiköy,"Bit Pazari Kadiköy, Istanbul, Turkiye",,
157,157,Посетить веб-сайт,Citrus Mobil,5.0,1 отзыв,Специализированные и сувенирные магазины,32. Citrus Mobil,"Citrus Mobil, Istanbul, Turkiye",,
158,158,Позвонить,Adiyaman Pazari,4.5,3 отзыва,Специализированные и сувенирные магазины,33. Adiyaman Pazari,"Adiyaman Pazari, Istanbul, Turkiye",,
159,159,"Beyazıt, Стамбул 34126 Турция",Kapalı Çarşı,,Понедельник,Блошиные и уличные рынки,34. Kapalı Çarşı,"Kapalı Çarşı, Istanbul, Turkiye",41.01098795,28.968175837679787
160,160,"Katar Caddesi No: 11, Стамбул 34460 Турция",Торговый центр Истинье Парк,4.5,724 отзыва,Торговые центры,1. Торговый центр Истинье Парк,"Торговый центр Истинье Парк, Istanbul, Turkiye",41.109574362182116,29.032896105382463
161,161,"Buyukdere Cad. No:22, Стамбул 34360 Турция",Торгово-развлекательный комплекс Джевахир,4.0,1053 отзыва,Торговые центры,2. Торгово-развлекательный комплекс Джевахир,"Торгово-развлекательный комплекс Джевахир, Istanbul, Turkiye",41.0626036,28.992994286846667
162,162,"Vadi Caddesi No: 2, Стамбул 34340 Турция",Торговый центр Zorlu Center (Зорлу Центр),4.5,510 отзывов,Торговые центры,3. Торговый центр Zorlu Center (Зорлу Центр),"Торговый центр Zorlu Center (Зорлу Центр), Istanbul, Turkiye",41.076194056471394,28.873089153211392
163,163,"Pasa Caddesi, Стамбул 34045 Турция",Forum Istanbul,4.5,431 отзыв,Торговые центры,4. Forum Istanbul,"Forum Istanbul, Istanbul, Turkiye",41.049149,28.899139
164,164,"Karadeniz Mah. Eski Edirne Asfaltı Cad. No:408 Kucukkoy, Gaziosmanpasa, Стамбул 34250 Турция",Venezia Mega Outlet,4.0,135 отзывов,Торговые центры,5. Venezia Mega Outlet,"Venezia Mega Outlet, Istanbul, Turkiye",41.080113850000004,28.877726592023194
165,165,"Süleyman Demirel Blv No: 7, Стамбул 34490 Турция",Торговый центр Mall of Istanbul,4.0,411 отзывов,Торговые центры,6. Торговый центр Mall of Istanbul,"Торговый центр Mall of Istanbul, Istanbul, Turkiye",,
166,166,"Dedepaşa Cad. No:19, Стамбул 34912 Турция",Аутлет Via/Port,4.0,393 отзыва,Торговые центры,7. Аутлет Via/Port,"Аутлет Via/Port, Istanbul, Turkiye",,
167,167,"Halkali Cad. No: 93/3, Стамбул 34153 Турция",Торговый центр Aqua Florya Alisveris Merkezi,4.5,317 отзывов,Торговые центры,8. Торговый центр Aqua Florya Alisveris Merkezi,"Торговый центр Aqua Florya Alisveris Merkezi, Istanbul, Turkiye",,
168,168,"Levent, Büyükdere Cd. No:185, Стамбул 34394 Турция",Kanyon Shopping Mall,4.0,365 отзывов,Универмаги,9. Kanyon Shopping Mall,"Kanyon Shopping Mall, Istanbul, Turkiye",41.0781724,29.010813752387413
169,169,"Libadiye Caddesi No: 88, Стамбул 34700 Турция",Emaar Square Mall,4.5,154 отзыва,Торговые центры,10. Emaar Square Mall,"Emaar Square Mall, Istanbul, Turkiye",41.00319245,29.070849073048453
170,170,"Prof. Dr. Muammer Aksoy Cad. No:30, Стамбул 34020 Турция",Olivium Outlet Center,3.5,286 отзывов,Торговые центры,11. Olivium Outlet Center,"Olivium Outlet Center, Istanbul, Turkiye",40.9953354,28.90976408513825
171,171,"Kazlicesme, Asim Kazancigil Cd Zeytinburnu, Стамбул 34020 Турция",Zeruj Port Shopping Mall,4.5,10 отзывов,Специализированные и сувенирные магазины,12. Zeruj Port Shopping Mall,"Zeruj Port Shopping Mall, Istanbul, Turkiye",,
172,172,"Balıkçılar Sokak U Blok 20 U, D:226, Стамбул 34940 Турция",Viaport Marina,4.0,158 отзывов,Торговые центры,13. Viaport Marina,"Viaport Marina, Istanbul, Turkiye",40.81723505,29.316055066995073
173,173,"Tesvikiye Cad. No:162, Стамбул 34365 Турция",City's Nisantasi Shopping Center,4.0,222 отзыва,Торговые центры,14. City's Nisantasi Shopping Center,"City's Nisantasi Shopping Center, Istanbul, Turkiye",,
174,174,Посетить веб-сайт,Palladium Alisveris Merkezi,4.5,107 отзывов,Торговые центры,15. Palladium Alisveris Merkezi,"Palladium Alisveris Merkezi, Istanbul, Turkiye",40.986158599999996,29.100366902718598
175,175,"Kızılbegonya Sok 10/1, Стамбул 34746 Турция",Watergarden Istanbul,4.5,168 отзывов,Торговые центры,16. Watergarden Istanbul,"Watergarden Istanbul, Istanbul, Turkiye",40.997289699999996,29.099539224955336
176,176,"Cobancesme Kosuyolu Bulvari No: 3, Стамбул 34100 Турция",Marmara Forum,4.0,168 отзывов,Торговые центры,17. Marmara Forum,"Marmara Forum, Istanbul, Turkiye",40.99677615,28.885910356349573
177,177,"Aydinevler Mah. Camlica Sitesi Yolu Sok. Maltepe, Стамбул 34675 Турция",Hilltown AVM,4.5,64 отзыва,Торговые центры,18. Hilltown AVM,"Hilltown AVM, Istanbul, Turkiye",40.95261395,29.12214478155067
178,178,"Azerbaycan Cd. No: 3/C Ayazağa Mahallesi, Стамбул 34396 Турция",Vadistanbul Shopping Center,4.0,56 отзывов,Торговые центры,19. Vadistanbul Shopping Center,"Vadistanbul Shopping Center, Istanbul, Turkiye",41.10813794263079,28.988750115399903
179,179,"Fişekhane Caddesi No: 7 Ataköy 1. Kısa Mahallesi, Стамбул 34158 Турция",Capacity Alışveriş Merkezi,4.0,75 отзывов,Торговые центры,20. Capacity Alışveriş Merkezi,"Capacity Alışveriş Merkezi, Istanbul, Turkiye",40.97750055,28.871290362121304
180,180,Подробнее,Historia Alisveris Merkezi,4.0,86 отзывов,Торговые центры,21. Historia Alisveris Merkezi,"Historia Alisveris Merkezi, Istanbul, Turkiye",41.014444299999994,28.945269539952385
181,181,"Yenibosna Merkez Mah, Değirmenbahçe Cd. No:34,, Стамбул 34197 Турция",Starcity Outlet,4.0,93 отзыва,Торговые центры,22. Starcity Outlet,"Starcity Outlet, Istanbul, Turkiye",41.01139295,28.81608504419537
182,182,"Buyukdere Caddesi No 181 Şişli, Стамбул 34394 Турция",ÖzdilekPark İstanbul,4.0,70 отзывов,Торговые центры,23. ÖzdilekPark İstanbul,"ÖzdilekPark İstanbul, Istanbul, Turkiye",41.08274849648724,29.009583838196153
183,183,"Mahir Iz Caddesi No:4 Altunizade Mah., Стамбул 34662 Турция",Capitol Shopping Center Uskudar,4.5,27 отзывов,Торговые центры,24. Capitol Shopping Center Uskudar,"Capitol Shopping Center Uskudar, Istanbul, Turkiye",41.02093585,29.039498076512317
184,184,"Çobançeşme E-5 Yan Yol Cad. No:14 Ataköy 7-8-9-10. Kısım Mah, Стамбул 34158 Турция",Торговый центр Airport Outlet Center,3.5,44 отзыва,Торговые центры,25. Торговый центр Airport Outlet Center,"Торговый центр Airport Outlet Center, Istanbul, Turkiye",,
185,185,"Takkeciler Street No 31-33 Grandbazaar, Стамбул 34126 Турция",Iznik Gift Shop,4.5,23 отзыва,Специализированные и сувенирные магазины,26. Iznik Gift Shop,"Iznik Gift Shop, Istanbul, Turkiye",,
186,186,"Tugay Yolu No:67 Cevizli, Maltepe, Стамбул 34846 Турция",Maltepe Park Shopping Center,4.0,91 отзыв,Торговые центры,27. Maltepe Park Shopping Center,"Maltepe Park Shopping Center, Istanbul, Turkiye",40.916412280938566,29.15663527639181
187,187,"Kültür, Nisbetiye Cd No:56, Стамбул 34340 Турция",Торговый центр Акмеркез,4.0,78 отзывов,Торговые центры,28. Торговый центр Акмеркез,"Торговый центр Акмеркез, Istanbul, Turkiye",,
188,188,"İstiklal Sokak No.2/B Yeni Sahra, Стамбул 34746 Турция",Optimum Outlet,4.0,163 отзыва,Кинотеатры,29. Optimum Outlet,"Optimum Outlet, Istanbul, Turkiye",40.98883085,29.08566630710296
189,189,Посетить веб-сайт,Tepe Nautilus Shopping Center,4.0,59 отзывов,Торговые центры,30. Tepe Nautilus Shopping Center,"Tepe Nautilus Shopping Center, Istanbul, Turkiye",,
190,190,"Acıbadem, Çeçen St. No:25, Стамбул 34660 Турция",Торговый центр Akasya Acıbadem,4.5,202 отзыва,Специализированные и сувенирные магазины,31. Торговый центр Akasya Acıbadem,"Торговый центр Akasya Acıbadem, Istanbul, Turkiye",,
191,191,Подробнее,Trump Alısveris Merkezi,3.5,49 отзывов,Торговые центры,32. Trump Alısveris Merkezi,"Trump Alısveris Merkezi, Istanbul, Turkiye",41.0683919,28.99227579485605
192,192,"Koza, 1655. Sk Mevkii No:6, Стамбул 34538 Турция",Akbati Alisveris ve Yasam Merkezi,4.0,73 отзыва,Торговые центры,33. Akbati Alisveris ve Yasam Merkezi,"Akbati Alisveris ve Yasam Merkezi, Istanbul, Turkiye",,
193,193,"Sakarya Caddesi No:1 ECE Türkiye Proje Yönetimi A.Ş., Beylikduzu, Стамбул 34520 Турция",Beylikdüzü Migros AVM,4.0,35 отзывов,Торговые центры,34. Beylikdüzü Migros AVM,"Beylikdüzü Migros AVM, Istanbul, Turkiye",,
194,194,Подробнее,Demiroren Istiklal Shopping Center,3.5,84 отзыва,Торговые центры,35. Demiroren Istiklal Shopping Center,"Demiroren Istiklal Shopping Center, Istanbul, Turkiye",,
195,195,"Fatih Sultan Mehmet Mah., Balkan Cad. No:56 Tepeüstü Ümraniye, Стамбул 34771 Турция",Buyaka Shopping Center,4.0,38 отзывов,Торговые центры,36. Buyaka Shopping Center,"Buyaka Shopping Center, Istanbul, Turkiye",,
196,196,Подробнее,Beyoglu Is Merkezi,3.5,21 отзыв,Торговые центры,37. Beyoglu Is Merkezi,"Beyoglu Is Merkezi, Istanbul, Turkiye",41.031558,28.9762127
197,197,Посетить веб-сайт,Aksaray Yeralti Carsisi,3.5,21 отзыв,Торговые центры,38. Aksaray Yeralti Carsisi,"Aksaray Yeralti Carsisi, Istanbul, Turkiye",41.0090565,28.9520805
198,198,Посетить веб-сайт,Atakoy Plus Alisveris Merkezi,4.0,54 отзыва,Торговые центры,39. Atakoy Plus Alisveris Merkezi,"Atakoy Plus Alisveris Merkezi, Istanbul, Turkiye",,
199,199,Подробнее,Horhor Antique Mall,4.0,12 отзывов,Антикварные магазины,40. Horhor Antique Mall,"Horhor Antique Mall, Istanbul, Turkiye",,
200,200,"Şht. Şakir Elkovan Cd No:20, Стамбул 34750 Турция",Novada Ataşehir,3.5,27 отзывов,Торговые центры,41. Novada Ataşehir,"Novada Ataşehir, Istanbul, Turkiye",,
201,201,Подробнее,Metrocity Alisveris Merkezi,4.0,78 отзывов,Торговые центры,42. Metrocity Alisveris Merkezi,"Metrocity Alisveris Merkezi, Istanbul, Turkiye",,
202,202,Посетить веб-сайт,Torium Alisveris Merkezi,4.0,58 отзывов,Торговые центры,43. Torium Alisveris Merkezi,"Torium Alisveris Merkezi, Istanbul, Turkiye",,
203,203,Посетить веб-сайт,Pelican Mall Alisveris Merkezi ve Yasam Merkezi,4.0,47 отзывов,Торговые центры,44. Pelican Mall Alisveris Merkezi ve Yasam Merkezi,"Pelican Mall Alisveris Merkezi ve Yasam Merkezi, Istanbul, Turkiye",40.991100200000005,28.714990722512525
204,204,"firuzağa mahallesi çukurcuma caddesi no:44/2 Beyoğlu, Стамбул 34425 Турция",Berol Antik,5.0,2 отзыва,Специализированные и сувенирные магазины,45. Berol Antik,"Berol Antik, Istanbul, Turkiye",,
205,205,"Halit Ziya Usakligil Caddesi No: 1 Bakirkoy, Стамбул 34710 Турция",Carousel AVM,3.5,42 отзыва,Торговые центры,46. Carousel AVM,"Carousel AVM, Istanbul, Turkiye",40.9777262,28.87359401985497
206,206,Посетить веб-сайт,Kozzy Alisveris ve Kultur Merkezi,4.0,53 отзыва,Торговые центры,47. Kozzy Alisveris ve Kultur Merkezi,"Kozzy Alisveris ve Kultur Merkezi, Istanbul, Turkiye",,
207,207,"Fatih Sultan Mehmet Mahallesi, Balkan Caddesi, No: 62, Стамбул 34770 Турция",Meydan İstanbul,5.0,9 отзывов,Торговые центры,48. Meydan İstanbul,"Meydan İstanbul, Istanbul, Turkiye",41.0106193,28.950151218732074
208,208,"Topcular Mah. Osman Gazi Cad. No: 2 Eyup, Bayrampasa Metro Istasyonu Yani, Стамбул 34055 Турция",Axis AVM,4.0,17 отзывов,Торговые центры,49. Axis AVM,"Axis AVM, Istanbul, Turkiye",41.086366999999996,28.982114204019684
209,209,"Hamidiye Cd. No:10, Стамбул 34112 Турция",Dogubank Is Hanı,4.5,4 отзыва,Торговые центры,50. Dogubank Is Hanı,"Dogubank Is Hanı, Istanbul, Turkiye",41.0154477,28.9749281
210,210,"Icerenkoy Mah. Kayisdagi Cad. No: 2 Atasehir, Стамбул 34752 Турция",CarrefourSA,3.5,17 отзывов,Торговые центры,51. CarrefourSA,"CarrefourSA, Istanbul, Turkiye",41.058809999999994,29.02476149878632
211,211,"Cayir Cd 1/133 Icerenkoy Mahallesi, Стамбул 34752 Турция",Kozyatagi Carrefour Avm,4.0,7 отзывов,Торговые центры,52. Kozyatagi Carrefour Avm,"Kozyatagi Carrefour Avm, Istanbul, Turkiye",40.9791933,29.099844514137168
212,212,Посетить веб-сайт,Perla Vista AVM,4.0,41 отзыв,Торговые центры,53. Perla Vista AVM,"Perla Vista AVM, Istanbul, Turkiye",,
213,213,Посетить веб-сайт,Piazza,4.0,15 отзывов,Торговые центры,54. Piazza,"Piazza, Istanbul, Turkiye",40.9199017,29.166320164206372
214,214,"Yamanevler Mah. Alemdag Cad. No: 169, Стамбул 34768 Турция",Canpark Shopping Mall,4.0,22 отзыва,Торговые центры,55. Canpark Shopping Mall,"Canpark Shopping Mall, Istanbul, Turkiye",,
215,215,"Atasehir Ataturk Mahallesi, Atasehir Bulv., Стамбул 34758 Турция",Metropol Istanbul,3.5,12 отзывов,Торговые центры,56. Metropol Istanbul,"Metropol Istanbul, Istanbul, Turkiye",40.994049149999995,29.121844456604173
216,216,"Istiklal Cad No.116 Asmali Mescit Mah, Стамбул 34430 Турция",Passage Hazzopulo,4.0,10 отзывов,Специализированные и сувенирные магазины,57. Passage Hazzopulo,"Passage Hazzopulo, Istanbul, Turkiye",41.0331744,28.9766535
217,217,,Bakırköy City Alışveriş Merkezi,4.5,2 отзыва,Универмаги,58. Bakırköy City Alışveriş Merkezi,"Bakırköy City Alışveriş Merkezi, Istanbul, Turkiye",,
218,218,"Postane Mahallesi Cumhuriyet Caddesi No. 5 Tuzla, Стамбул 34940 Турция",Tuzla Port Avm,3.5,5 отзывов,Универмаги,59. Tuzla Port Avm,"Tuzla Port Avm, Istanbul, Turkiye",,
219,219,Посетить веб-сайт,Deposite Outlet Center,3.5,14 отзывов,Торговые центры,60. Deposite Outlet Center,"Deposite Outlet Center, Istanbul, Turkiye",,
220,220,Посетить веб-сайт,Neomarin Alisveris Merkezi,3.5,41 отзыв,Торговые центры,61. Neomarin Alisveris Merkezi,"Neomarin Alisveris Merkezi, Istanbul, Turkiye",,
221,221,Посетить веб-сайт,Uniq Istanbul,3.5,41 отзыв,Торговые центры,62. Uniq Istanbul,"Uniq Istanbul, Istanbul, Turkiye",41.108029200000004,29.007863252165585
222,222,Посетить веб-сайт,Brandium AVM,3.5,30 отзывов,Торговые центры,63. Brandium AVM,"Brandium AVM, Istanbul, Turkiye",40.982585400000005,29.132465721875626
223,223,"Mehmet Nesih Özmen Mahallesi Nadide Caddesi Kasım Sokağı No:77, Merter-Güngören/İstanbul, Стамбул 34173 Турция",Lady Mall Merter,,Понедельник,Торговые центры,64. Lady Mall Merter,"Lady Mall Merter, Istanbul, Turkiye",,
224,224,Подробнее,Astoria AVM,3.0,14 отзывов,Торговые центры,65. Astoria AVM,"Astoria AVM, Istanbul, Turkiye",41.0685996,29.00587288643326
225,225,Посетить веб-сайт,Flyinn Alisveris ve Yasam Merkezi,4.0,30 отзывов,Торговые центры,66. Flyinn Alisveris ve Yasam Merkezi,"Flyinn Alisveris ve Yasam Merkezi, Istanbul, Turkiye",40.97284085,28.804346316297348
226,226,Посетить веб-сайт,Galleria Atakoy,3.5,9 отзывов,Торговые центры,67. Galleria Atakoy,"Galleria Atakoy, Istanbul, Turkiye",40.9744561,28.8692709
227,227,Посетить веб-сайт,İstanbul Fashion Center,4.0,1 отзыв,Торговые центры,68. İstanbul Fashion Center,"İstanbul Fashion Center, Istanbul, Turkiye",,
228,228,"Sabuncuhan Cad. No:10 Eminönü Fatih / İSTANBUL, Стамбул 34110 Турция",Alibaba Doğaltaş,4.5,2 отзыва,Торговые центры,69. Alibaba Doğaltaş,"Alibaba Doğaltaş, Istanbul, Turkiye",,
229,229,Позвонить,Akvaryum Alisveris Merkezi,3.5,19 отзывов,Торговые центры,70. Akvaryum Alisveris Merkezi,"Akvaryum Alisveris Merkezi, Istanbul, Turkiye",,
230,230,"Yunus Mahallesi, Sanayi Caddesi No: 2 Kartal, Стамбул 34860 Турция",IstMarina AVM,3.5,23 отзыва,Торговые центры,71. IstMarina AVM,"IstMarina AVM, Istanbul, Turkiye",40.88462135,29.205771949537038
231,231,"Necip Fazil Mahallesi, Alemdag Caddesi, No:940, Стамбул 34773 Турция",Metrogarden AVM,3.0,31 отзыв,Универмаги,72. Metrogarden AVM,"Metrogarden AVM, Istanbul, Turkiye",41.01541545,29.178676897325595
232,232,"Yerebatan Caddesi No 34 Near To High Sofia And Blue Mosque Aswell, Стамбул 34122 Турция",Sarnıç Bazaar,4.0,5 отзывов,Торговые центры,73. Sarnıç Bazaar,"Sarnıç Bazaar, Istanbul, Turkiye",,
233,233,Посетить веб-сайт,Olimpa Mall,3.5,12 отзывов,Торговые центры,74. Olimpa Mall,"Olimpa Mall, Istanbul, Turkiye",41.10937235,28.788594845734423
234,234,"Gunesli Mah. Fevzi Cakmak Caddesi No: 2 Bagcilar, Стамбул 34212 Турция",Gunesli Park AVM,3.5,3 отзыва,Торговые центры,75. Gunesli Park AVM,"Gunesli Park AVM, Istanbul, Turkiye",41.0322089,28.824393015159945
235,235,Посетить веб-сайт,Atrium Alisveris Merkezi,3.5,18 отзывов,Торговые центры,76. Atrium Alisveris Merkezi,"Atrium Alisveris Merkezi, Istanbul, Turkiye",,
236,236,Посетить веб-сайт,Istanbul Outlet Park,2.0,1 отзыв,Торговые центры,77. Istanbul Outlet Park,"Istanbul Outlet Park, Istanbul, Turkiye",41.018230450000004,28.631913078864606
237,237,Посетить веб-сайт,Prestige Mall Alisveris Merkezi,3.5,21 отзыв,Торговые центры,78. Prestige Mall Alisveris Merkezi,"Prestige Mall Alisveris Merkezi, Istanbul, Turkiye",,
238,238,,Ataköy Organik Pazarı,4.0,2 отзыва,Торговые центры,79. Ataköy Organik Pazarı,"Ataköy Organik Pazarı, Istanbul, Turkiye",,
239,239,Подробнее,Profilo Alisveris Merkezi,3.0,25 отзывов,Торговые центры,80. Profilo Alisveris Merkezi,"Profilo Alisveris Merkezi, Istanbul, Turkiye",41.0706911,29.00192725
240,240,Подробнее,AddresIstanbul,3.5,8 отзывов,Торговые центры,81. AddresIstanbul,"AddresIstanbul, Istanbul, Turkiye",,
241,241,"Eski Londra Asfaltı. Kultur Sok. No:1 Bahcelievler, Стамбул 34180 Турция",Metroport AVM Bahcelievler,3.0,16 отзывов,Торговые центры,82. Metroport AVM Bahcelievler,"Metroport AVM Bahcelievler, Istanbul, Turkiye",40.9955472,28.8626087
242,242,Посетить веб-сайт,LUXURY Leather Меха Кожа Шубы Анталия Турция,,Понедельник,Специализированные и сувенирные магазины,83. LUXURY Leather Меха Кожа Шубы Анталия Турция,"LUXURY Leather Меха Кожа Шубы Анталия Турция, Istanbul, Turkiye",,
243,243,Посетить веб-сайт,Kardiyum Shopping Center,4.0,4 отзыва,Торговые центры,84. Kardiyum Shopping Center,"Kardiyum Shopping Center, Istanbul, Turkiye",,
244,244,"Abdurrahmangazi Mah. Fatih Bulvari No: 67/1, Стамбул 34920 Турция",Atlaspark AVM,3.5,10 отзывов,Торговые центры,85. Atlaspark AVM,"Atlaspark AVM, Istanbul, Turkiye",40.9694951,29.255364253992127
245,245,"Mimar Sinan, Стамбул 34664 Турция",Mimar Sinan Carsisi,4.5,2 отзыва,Торговые центры,86. Mimar Sinan Carsisi,"Mimar Sinan Carsisi, Istanbul, Turkiye",41.02359175,29.017612595839566
246,246,Подробнее,Polcenter Shopping Center,3.5,7 отзывов,Торговые центры,87. Polcenter Shopping Center,"Polcenter Shopping Center, Istanbul, Turkiye",,
247,247,"Sifa Mahallesi, Akkavak Cd. No: 92 Tuzla, Стамбул 34950 Турция",Sifa Park AVM,3.5,2 отзыва,Торговые центры,88. Sifa Park AVM,"Sifa Park AVM, Istanbul, Turkiye",,
248,248,Подробнее,Syria Passage,4.0,1 отзыв,Торговые центры,89. Syria Passage,"Syria Passage, Istanbul, Turkiye",,
249,249,Посетить веб-сайт,World Atlantis Shopping Center,2.5,33 отзыва,Торговые центры,90. World Atlantis Shopping Center,"World Atlantis Shopping Center, Istanbul, Turkiye",,
250,250,"Dikilitaş Mh Selenium Plaza, Стамбул 34349 Турция",Wougy,5.0,1 отзыв,Торговые центры,91. Wougy,"Wougy, Istanbul, Turkiye",,
251,251,Посетить веб-сайт,White Hill,3.0,5 отзывов,Торговые центры,92. White Hill,"White Hill, Istanbul, Turkiye",,
252,252,Позвонить,Uyum Carsi Shopping Center,3.0,8 отзывов,Торговые центры,93. Uyum Carsi Shopping Center,"Uyum Carsi Shopping Center, Istanbul, Turkiye",,
253,253,Посетить веб-сайт,Omur Plaza Alisveris Merkezi,3.5,10 отзывов,Торговые центры,94. Omur Plaza Alisveris Merkezi,"Omur Plaza Alisveris Merkezi, Istanbul, Turkiye",,
254,254,Посетить веб-сайт,Atirus Mall,3.0,11 отзывов,Торговые центры,95. Atirus Mall,"Atirus Mall, Istanbul, Turkiye",41.02119525,28.58376150048357
